15.26,14.84,0.871,5.763,3.312,2.221,5.22,1.0
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1.0
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1.0
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1.0
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1.0
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1.0
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1.0
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3.0
11.18,12.72,0.868,5.009,2.81,4.051,4.828,3.0
12.7,13.41,0.8874,5.183,3.091,8.456,5.0,3.0
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,3.0
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3.0
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3.0
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,3.0
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3.0
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,3.0